  330.7335,  320.4518,  319.8791,  317.0870,  320.2447,  379.0701,  462.5310,  612.6999,  593.3256,  600.8487,  739.1172, 1004.0148,  771.1621,  723.4425,  607.9759,  518.0916,  492.8913,  538.8960,  625.3985,  603.6006,  683.1603,  727.1051,  578.6429,  375.6318
  929.6979, 1161.0777, 1246.8579, 1494.3470, 1585.0355, 1460.7561, 2037.3464, 2444.3374, 1570.7213, 1423.3043, 1175.5963, 1260.6248, 1238.1802, 1341.2873, 1215.8072, 1276.4278, 1590.0627, 2119.9141, 2482.9692, 2410.9842, 2410.6122, 2002.9920, 1241.3999,  908.6043
  185.4771,  175.6326,  173.8558,  170.4840,  168.0095,  167.8713,  202.0431,  321.7298,  408.1360,  430.4148,  479.6078, 1068.8111,  961.5691,  380.1793,  807.6046,  792.8674,  401.2629,  446.8616,  573.1988,  574.2976,  334.0309,  332.4358,  299.4874,  222.8161
  114.8315,  102.1821,   99.7364,  102.7745,  108.4840,  118.0390,  178.5974,  414.8927,  808.2287, 1052.7030,  756.6069,  473.0901,  360.8295,  327.8157,  294.5600,  264.4517,  234.8479,  201.5311,  198.2407,  178.4977,  163.4116,  167.6177,  152.9060,  124.1692
  361.0585,  283.6552,  242.7860,  224.5602,  214.1150,  209.7534,  221.6307,  326.3037,  339.1925,  427.1338,  556.9428,  716.6708,  761.4897,  796.5693,  866.2732, 1011.3131, 1046.8947,  984.4130,  931.2112,  891.3176,  875.9578,  785.2414,  675.1586,  458.5397
  492.0193,  378.7566,  359.1713,  336.3125,  306.6594,  321.7170,  520.7670, 1175.8319, 1235.9927,  885.4411,  551.1188,  458.6992,  514.7218,  536.2129,  543.1342,  644.8355,  656.5970,  630.8889,  681.4757,  727.2130,  756.9879,  742.7914,  745.5916,  631.8132
  267.6894,  161.2514,  135.9707,  130.2086,  127.9699,  125.4013,  121.9631,  182.0911,  399.3491,  595.8191,  679.8613,  768.3368,  768.2879,  757.2826,  740.3665,  708.2601,  637.4369,  601.8822,  593.3085,  553.5335,  526.7802,  531.6707,  506.2263,  387.3991
 1291.6908, 1298.1834, 1283.2068, 1279.0225, 1334.4696, 1441.5605, 1621.6122, 1593.2722, 1774.3668, 1748.9970, 1605.6447, 1527.1799, 1585.0268, 1852.8715, 1989.2583, 2092.2457, 2114.8491, 1877.1150, 2138.1833, 1638.2104, 1551.3015, 1512.3852, 1538.8537, 1377.3627
  333.9464,  274.1322,  249.4214,  263.4643,  307.9565,  600.6118,  501.0332,  501.3932,  643.2454,  700.0576,  680.6409,  759.2836,  830.2205,  863.1264,  922.1705, 1038.6204, 1244.6016, 1376.0983, 1346.6043, 1204.1813,  973.4557,  679.0015,  467.1789,  393.8424
  387.4991,  284.8650,  207.2485,  182.0657,  166.7468,  165.0521,  272.2159,  480.8055,  617.5307,  581.1229,  714.0717,  853.8876,  650.9997,  426.9806,  347.0084,  364.3358,  385.0724,  486.4463,  827.9200,  807.3373,  764.3636,  828.4826,  743.7711,  544.1327
